hiring_manager: blo; similarity_score: 14.6524
hiring_manager: chrisbennet; similarity_score: 14.6167
hiring_manager: Bahamut; similarity_score: 14.6078
hiring_manager: spooneybarger; similarity_score: 14.5641
hiring_manager: Renat; similarity_score: 14.5270
hiring_manager: yavery; similarity_score: 14.5077
hiring_manager: infer; similarity_score: 14.5071
hiring_manager: lightningstorm; similarity_score: 14.4578
hiring_manager: eric_romo; similarity_score: 14.4508
hiring_manager: damon_c; similarity_score: 14.4
hiring_manager: vtuulos; similarity_score: 14.3218
hiring_manager: Synergyse; similarity_score: 14.2857
hiring_manager: ssk2; similarity_score: 14.2754
hiring_manager: sid6376; similarity_score: 14.1987
hiring_manager: freyil; similarity_score: 14.1860
hiring_manager: rasengan; similarity_score: 14.1716
hiring_manager: toreriklinnerud; similarity_score: 14.1065
hiring_manager: matm; similarity_score: 14.0248
hiring_manager: hrehhf; similarity_score: 14.0077
hiring_manager: mburst; similarity_score: 13.9870
hiring_manager: RaizlabsTalent; similarity_score: 13.9705
hiring_manager: dbuxton; similarity_score: 13.9664
hiring_manager: st8machine; similarity_score: 13.9097
hiring_manager: nikhaldi; similarity_score: 13.8888
hiring_manager: BillFranklin; similarity_score: 13.8067
hiring_manager: justhw; similarity_score: 13.7931
hiring_manager: alexk; similarity_score: 13.6534
hiring_manager: smikhanov; similarity_score: 13.6186
hiring_manager: pouloum78; similarity_score: 13.6170
hiring_manager: jorgecastillo; similarity_score: 13.6054
hiring_manager: bootstraponline; similarity_score: 13.6029
hiring_manager: nichol4s; similarity_score: 13.5746
hiring_manager: mmelin; similarity_score: 13.5662
hiring_manager: axiom; similarity_score: 13.5517
hiring_manager: ben336; similarity_score: 13.5172
hiring_manager: edent; similarity_score: 13.5135
hiring_manager: tair; similarity_score: 13.4249
hiring_manager: grydstedt; similarity_score: 13.4062
hiring_manager: Caleb_Smith; similarity_score: 13.3874
hiring_manager: espinchi; similarity_score: 13.3550
hiring_manager: tianyicui; similarity_score: 13.3394
hiring_manager: ljlolel; similarity_score: 13.3079
hiring_manager: kdavari; similarity_score: 13.2996
hiring_manager: edawerd; similarity_score: 13.2773
hiring_manager: DLarsen; similarity_score: 13.2714
hiring_manager: stockninja; similarity_score: 13.2262
hiring_manager: sparkman55; similarity_score: 13.2223
hiring_manager: knes; similarity_score: 13.1958
hiring_manager: FUSAR_rs; similarity_score: 13.1423
hiring_manager: meaydinli; similarity_score: 13.1274
hiring_manager: propellerhat; similarity_score: 13.1193
hiring_manager: meritt; similarity_score: 13.1092
hiring_manager: kenrose; similarity_score: 13.0830
hiring_manager: fuckthepoor; similarity_score: 13.0268
hiring_manager: gajomi; similarity_score: 13.0232
hiring_manager: sethbannon; similarity_score: 13.0177
hiring_manager: andrewforee; similarity_score: 13.0011
hiring_manager: asanwal; similarity_score: 12.9757
hiring_manager: paradox95; similarity_score: 12.9032
hiring_manager: mpdaugherty; similarity_score: 12.8953
hiring_manager: YelpEngineering; similarity_score: 12.8571
hiring_manager: jontonsoup; similarity_score: 12.8457
hiring_manager: BMarkmann; similarity_score: 12.8244
hiring_manager: Gyffindor; similarity_score: 12.7562
hiring_manager: ehberger; similarity_score: 12.6146
hiring_manager: Clairesheng; similarity_score: 12.5547
hiring_manager: jkoc; similarity_score: 12.5541
hiring_manager: fractalsea; similarity_score: 12.5252
hiring_manager: mbesto; similarity_score: 12.3417
hiring_manager: AaronLasseigne; similarity_score: 12.2905
hiring_manager: bgriggs1; similarity_score: 12.2587
hiring_manager: OpenDrapery; similarity_score: 12.2448
hiring_manager: petrosagg; similarity_score: 12.1771
hiring_manager: martinshen; similarity_score: 12.1731
hiring_manager: grinich; similarity_score: 12.1330
hiring_manager: cairo140; similarity_score: 11.9484
hiring_manager: astralship; similarity_score: 11.9369
hiring_manager: ncbk12; similarity_score: 11.9104
hiring_manager: waseems; similarity_score: 11.8858
hiring_manager: shedd; similarity_score: 11.8078
hiring_manager: blakeweb; similarity_score: 11.7445
hiring_manager: dh0913; similarity_score: 11.7359
hiring_manager: jpwagner; similarity_score: 11.7231
hiring_manager: noahbrier; similarity_score: 11.7230
hiring_manager: ndonnellan; similarity_score: 11.7154
hiring_manager: mapdock; similarity_score: 11.6915
hiring_manager: jason_allen; similarity_score: 11.6325
hiring_manager: Theranos; similarity_score: 11.6137
hiring_manager: vonnik; similarity_score: 11.5363
hiring_manager: tharshan09; similarity_score: 11.5062
hiring_manager: kiyoto; similarity_score: 11.4985
hiring_manager: bjelkeman-again; similarity_score: 11.4159
hiring_manager: mikebabineau; similarity_score: 11.3671
hiring_manager: kcrossisec; similarity_score: 11.3397
hiring_manager: BGCivis; similarity_score: 11.1563
hiring_manager: noobuser123; similarity_score: 11.0663
hiring_manager: tobinharris; similarity_score: 11.0497
hiring_manager: JangoSteve; similarity_score: 11.0474
hiring_manager: kmano8; similarity_score: 11.0373
hiring_manager: eugeneiiim; similarity_score: 11.0068
hiring_manager: michaelhoffman; similarity_score: 10.9480
hiring_manager: jhdavids8; similarity_score: 10.9304
hiring_manager: bowmanb; similarity_score: 10.9036
hiring_manager: rvivek; similarity_score: 10.7798
hiring_manager: mrbird; similarity_score: 10.7604
hiring_manager: breckognize; similarity_score: 10.7255
hiring_manager: fuelfive; similarity_score: 10.7142
hiring_manager: thethimble; similarity_score: 10.6003
hiring_manager: arach; similarity_score: 10.5797
hiring_manager: samuelbrin; similarity_score: 10.4964
hiring_manager: frisco; similarity_score: 10.4903
hiring_manager: fortpoint; similarity_score: 10.4621
hiring_manager: sqs; similarity_score: 10.4529
hiring_manager: chrchr; similarity_score: 10.3973
hiring_manager: conorgil145; similarity_score: 10.3626
hiring_manager: jennifer_scroll; similarity_score: 10.3326
hiring_manager: jonbischke; similarity_score: 10.2510
hiring_manager: atto; similarity_score: 10.2232
hiring_manager: kevinschumacher; similarity_score: 10.1694
hiring_manager: jnenglish; similarity_score: 10.1434
hiring_manager: pashabitz; similarity_score: 10.1075
hiring_manager: siddarthd2919; similarity_score: 10.0
hiring_manager: iandanforth; similarity_score: 9.97920
hiring_manager: cwhiten; similarity_score: 9.97488
hiring_manager: rchiba; similarity_score: 9.93398
hiring_manager: alphast0rm; similarity_score: 9.88654
hiring_manager: asolove; similarity_score: 9.87179
hiring_manager: azinman2; similarity_score: 9.84271
hiring_manager: jsaxton86; similarity_score: 9.77272
hiring_manager: florianf; similarity_score: 9.74025
hiring_manager: squirrel; similarity_score: 9.67971
hiring_manager: fheisler; similarity_score: 9.67741
hiring_manager: tqn; similarity_score: 9.67051
hiring_manager: gnidan; similarity_score: 9.62406
hiring_manager: metaobject; similarity_score: 9.60334
hiring_manager: siscia; similarity_score: 9.59692
hiring_manager: paulc; similarity_score: 9.54810
hiring_manager: g06; similarity_score: 9.53757
hiring_manager: 7Figures2Commas; similarity_score: 9.50060
hiring_manager: clarkevans; similarity_score: 9.47567
hiring_manager: capkutay; similarity_score: 9.46982
hiring_manager: geori; similarity_score: 9.44625
hiring_manager: dmritard96; similarity_score: 9.42698
hiring_manager: miles932; similarity_score: 9.36936
hiring_manager: greattypo; similarity_score: 9.36564
hiring_manager: minichate; similarity_score: 9.34046
hiring_manager: JayNeely; similarity_score: 9.33333
hiring_manager: azth; similarity_score: 9.30576
hiring_manager: mateodelnorte; similarity_score: 9.30555
hiring_manager: _br; similarity_score: 9.28792
hiring_manager: statictype; similarity_score: 9.28652
hiring_manager: papaonlegs; similarity_score: 9.20502
hiring_manager: bitcrusher; similarity_score: 9.19987
hiring_manager: pensieri; similarity_score: 9.06131
hiring_manager: bsnyder; similarity_score: 9.05587
hiring_manager: woodhull; similarity_score: 9.04723
hiring_manager: unclesaamm; similarity_score: 8.86319
hiring_manager: baran; similarity_score: 8.84406
hiring_manager: fourier; similarity_score: 8.78243
hiring_manager: Cyranix; similarity_score: 8.71080
hiring_manager: jarmitage; similarity_score: 8.68817
hiring_manager: gsastry; similarity_score: 8.59748
hiring_manager: matlock; similarity_score: 8.57863
hiring_manager: snowmaker; similarity_score: 8.57025
hiring_manager: djyoo; similarity_score: 8.55784
hiring_manager: iis_zephyr; similarity_score: 8.49810
hiring_manager: quinthar; similarity_score: 8.46774
hiring_manager: jakestein; similarity_score: 8.42527
hiring_manager: jjarmoc; similarity_score: 8.39160
hiring_manager: the_gigi; similarity_score: 8.33982
hiring_manager: Andrew_Metail; similarity_score: 8.32755
hiring_manager: ejdyksen; similarity_score: 8.25035
hiring_manager: brandonthejames; similarity_score: 8.24561
hiring_manager: makmanalp; similarity_score: 8.05725
hiring_manager: loganfrederick; similarity_score: 8.02768
hiring_manager: jasonparekh; similarity_score: 7.93116
hiring_manager: svec; similarity_score: 7.63819
hiring_manager: alexose; similarity_score: 7.60157
