hiring_manager: capkutay; similarity_score: 15.8010
hiring_manager: pohungc; similarity_score: 15.7758
hiring_manager: alexthornton; similarity_score: 15.7665
hiring_manager: jlees; similarity_score: 15.7335
hiring_manager: clarkevans; similarity_score: 15.6424
hiring_manager: chrisdl; similarity_score: 15.6171
hiring_manager: meritt; similarity_score: 15.5083
hiring_manager: waseems; similarity_score: 15.4368
hiring_manager: rprovey; similarity_score: 15.4134
hiring_manager: klochner; similarity_score: 15.3904
hiring_manager: BWStearns; similarity_score: 15.3873
hiring_manager: salar; similarity_score: 15.3722
hiring_manager: asanwal; similarity_score: 15.3232
hiring_manager: fchollet; similarity_score: 15.3203
hiring_manager: clieu1; similarity_score: 15.3013
hiring_manager: ncbk12; similarity_score: 15.2233
hiring_manager: 7parkdata; similarity_score: 15.2152
hiring_manager: 7Figures2Commas; similarity_score: 15.1846
hiring_manager: wdewind; similarity_score: 15.0977
hiring_manager: olivercameron; similarity_score: 15.0888
hiring_manager: soundandfeury; similarity_score: 15.0593
hiring_manager: helloshow; similarity_score: 15.0416
hiring_manager: artursapek; similarity_score: 15.0273
hiring_manager: kscottz; similarity_score: 15.0075
hiring_manager: ninetax; similarity_score: 14.9833
hiring_manager: alphast0rm; similarity_score: 14.9828
hiring_manager: dbuxton; similarity_score: 14.9816
hiring_manager: frisco; similarity_score: 14.9570
hiring_manager: jontonsoup; similarity_score: 14.8995
hiring_manager: atto; similarity_score: 14.8993
hiring_manager: wiredd; similarity_score: 14.8669
hiring_manager: antoviaque; similarity_score: 14.8379
hiring_manager: geori; similarity_score: 14.7639
hiring_manager: ILIKEPONIES; similarity_score: 14.7411
hiring_manager: sb_ba; similarity_score: 14.7338
hiring_manager: snowmaker; similarity_score: 14.6217
hiring_manager: statictype; similarity_score: 14.6095
hiring_manager: andrewforee; similarity_score: 14.6009
hiring_manager: hglaser; similarity_score: 14.5526
hiring_manager: jasoncrawford; similarity_score: 14.5428
hiring_manager: ben336; similarity_score: 14.4984
hiring_manager: edawerd; similarity_score: 14.4851
hiring_manager: nschuett; similarity_score: 14.3903
hiring_manager: azinman2; similarity_score: 14.3833
hiring_manager: meaydinli; similarity_score: 14.3825
hiring_manager: realdlee; similarity_score: 14.3272
hiring_manager: twymer; similarity_score: 14.2960
hiring_manager: FreshPuzzles; similarity_score: 14.2675
hiring_manager: espinchi; similarity_score: 14.2489
hiring_manager: eric_romo; similarity_score: 14.2056
hiring_manager: mattnguyen; similarity_score: 14.1530
hiring_manager: fheisler; similarity_score: 14.1198
hiring_manager: JJMalina; similarity_score: 14.0620
hiring_manager: blakeweb; similarity_score: 14.0508
hiring_manager: BGCivis; similarity_score: 14.0276
