hiring_manager: mrw34; similarity_score: 14.4715
hiring_manager: quinthar; similarity_score: 14.3920
hiring_manager: ehberger; similarity_score: 14.3774
hiring_manager: clarkevans; similarity_score: 14.3624
hiring_manager: dannysu; similarity_score: 14.2857
hiring_manager: sciurus; similarity_score: 14.2659
hiring_manager: escherize; similarity_score: 14.1843
hiring_manager: Bahamut; similarity_score: 14.1756
hiring_manager: ashleyjohn; similarity_score: 14.0988
hiring_manager: clieu1; similarity_score: 14.0703
hiring_manager: jpwagner; similarity_score: 14.0589
hiring_manager: pashabitz; similarity_score: 14.0350
hiring_manager: pohungc; similarity_score: 13.9344
hiring_manager: wiredd; similarity_score: 13.8133
hiring_manager: fchollet; similarity_score: 13.7643
hiring_manager: diego; similarity_score: 13.7481
hiring_manager: YelpEngineering; similarity_score: 13.7366
hiring_manager: rprovey; similarity_score: 13.7313
hiring_manager: nschuett; similarity_score: 13.6767
hiring_manager: chrisdl; similarity_score: 13.6708
hiring_manager: burnout1540; similarity_score: 13.5785
hiring_manager: k1w1; similarity_score: 13.5702
hiring_manager: thethimble; similarity_score: 13.5535
hiring_manager: siscia; similarity_score: 13.5514
hiring_manager: kbar13; similarity_score: 13.5306
hiring_manager: jsaxton86; similarity_score: 13.4688
hiring_manager: mikebabineau; similarity_score: 13.4408
hiring_manager: imdane; similarity_score: 13.4228
hiring_manager: grinich; similarity_score: 13.3971
hiring_manager: finnh; similarity_score: 13.3333
hiring_manager: arobbins; similarity_score: 13.3201
hiring_manager: zeiler; similarity_score: 13.3182
hiring_manager: ssk2; similarity_score: 13.2921
hiring_manager: jakestein; similarity_score: 13.2561
hiring_manager: geori; similarity_score: 13.2158
hiring_manager: jerematasno; similarity_score: 13.1221
hiring_manager: ben336; similarity_score: 12.9697
hiring_manager: Theranos; similarity_score: 12.9682
hiring_manager: mapdock; similarity_score: 12.9366
hiring_manager: ndonnellan; similarity_score: 12.8642
hiring_manager: myom; similarity_score: 12.8603
hiring_manager: AaronLasseigne; similarity_score: 12.8467
hiring_manager: jlees; similarity_score: 12.7842
hiring_manager: baran; similarity_score: 12.7090
hiring_manager: kmano8; similarity_score: 12.6888
hiring_manager: biggitybones; similarity_score: 12.6735
hiring_manager: annalewis7; similarity_score: 12.6637
hiring_manager: alphast0rm; similarity_score: 12.6205
hiring_manager: edent; similarity_score: 12.5654
hiring_manager: yonibaciu1; similarity_score: 12.5367
hiring_manager: xiongww; similarity_score: 12.4454
hiring_manager: woodhull; similarity_score: 12.3908
hiring_manager: ejdyksen; similarity_score: 12.3574
hiring_manager: xasos; similarity_score: 12.1372
hiring_manager: antoviaque; similarity_score: 12.1212
hiring_manager: cjbarber; similarity_score: 12.1157
hiring_manager: TheMakeA; similarity_score: 12.0576
hiring_manager: mattnguyen; similarity_score: 12.0075
hiring_manager: milewska; similarity_score: 11.9718
hiring_manager: papaonlegs; similarity_score: 11.9480
hiring_manager: gsastry; similarity_score: 11.9457
hiring_manager: metaobject; similarity_score: 11.9170
hiring_manager: rememberlenny; similarity_score: 11.9001
hiring_manager: gajomi; similarity_score: 11.8126
hiring_manager: georgespencer; similarity_score: 11.7521
hiring_manager: Synergyse; similarity_score: 11.7436
hiring_manager: scottaj2; similarity_score: 11.7274
hiring_manager: jkoc; similarity_score: 11.6239
hiring_manager: uwemaurer; similarity_score: 11.5456
hiring_manager: 7Figures2Commas; similarity_score: 11.5384
hiring_manager: minichate; similarity_score: 11.5044
hiring_manager: Caleb_Smith; similarity_score: 11.5
hiring_manager: lesleyann25; similarity_score: 11.4630
hiring_manager: mateodelnorte; similarity_score: 11.4328
hiring_manager: kcrossisec; similarity_score: 11.3658
hiring_manager: vaxtrac; similarity_score: 11.3513
hiring_manager: daveoflynn; similarity_score: 11.3501
hiring_manager: santiycr; similarity_score: 11.3253
hiring_manager: infer; similarity_score: 11.3251
hiring_manager: sqs; similarity_score: 11.2573
hiring_manager: tqn; similarity_score: 11.2299
hiring_manager: spang; similarity_score: 11.2204
hiring_manager: noobuser123; similarity_score: 11.1873
hiring_manager: paulc; similarity_score: 11.1655
hiring_manager: eugeneiiim; similarity_score: 11.1553
hiring_manager: matm; similarity_score: 11.1350
hiring_manager: FreshPuzzles; similarity_score: 11.0344
hiring_manager: neftaly; similarity_score: 10.9375
hiring_manager: meritt; similarity_score: 10.9313
hiring_manager: salar; similarity_score: 10.8979
hiring_manager: fheisler; similarity_score: 10.8810
hiring_manager: azinman2; similarity_score: 10.8626
hiring_manager: iandanforth; similarity_score: 10.8247
hiring_manager: JangoSteve; similarity_score: 10.7788
hiring_manager: mandoescamilla; similarity_score: 10.7728
hiring_manager: iis_zephyr; similarity_score: 10.7705
hiring_manager: sridevizarin; similarity_score: 10.7279
hiring_manager: EmilLondon; similarity_score: 10.7039
hiring_manager: sethbannon; similarity_score: 10.6459
hiring_manager: zaidos; similarity_score: 10.6292
hiring_manager: bostik; similarity_score: 10.5571
hiring_manager: fuelfive; similarity_score: 10.5439
hiring_manager: conversica; similarity_score: 10.4997
hiring_manager: tharshan09; similarity_score: 10.4452
hiring_manager: tianyicui; similarity_score: 10.4007
hiring_manager: Clairesheng; similarity_score: 10.3975
hiring_manager: noahbrier; similarity_score: 10.3923
hiring_manager: siddarthd2919; similarity_score: 10.3359
hiring_manager: nkoren; similarity_score: 10.2639
hiring_manager: ogennadi; similarity_score: 10.2564
hiring_manager: austinhallock; similarity_score: 10.2202
hiring_manager: hseikaly; similarity_score: 10.1818
hiring_manager: swampthing; similarity_score: 10.1636
hiring_manager: d0m; similarity_score: 10.1557
hiring_manager: ivanzhao; similarity_score: 10.1057
hiring_manager: dwiel; similarity_score: 10.0896
hiring_manager: bostonpete; similarity_score: 10.0795
