hiring_manager: RaizlabsTalent; similarity_score: 8.03295
hiring_manager: dbuxton; similarity_score: 7.88321
hiring_manager: chollida1; similarity_score: 7.85219
hiring_manager: marybheine; similarity_score: 7.72659
hiring_manager: uwemaurer; similarity_score: 7.71208
hiring_manager: DustinCalim; similarity_score: 7.62852
hiring_manager: geori; similarity_score: 7.62812
hiring_manager: alexk; similarity_score: 7.62711
hiring_manager: joanatello; similarity_score: 7.62331
hiring_manager: ssk2; similarity_score: 7.61523
hiring_manager: asanwal; similarity_score: 7.56192
hiring_manager: Mynar; similarity_score: 7.49464
hiring_manager: Symbol; similarity_score: 7.43691
hiring_manager: chrisduesing; similarity_score: 7.39466
hiring_manager: mrbird; similarity_score: 7.36318
hiring_manager: fuelfive; similarity_score: 7.34149
hiring_manager: davidw; similarity_score: 7.31707
hiring_manager: JayNeely; similarity_score: 7.28407
hiring_manager: nichol4s; similarity_score: 7.25720
hiring_manager: hglaser; similarity_score: 7.22656
hiring_manager: wattenberger; similarity_score: 7.14285
hiring_manager: brettz; similarity_score: 7.13128
hiring_manager: baran; similarity_score: 7.11111
hiring_manager: hgrttn; similarity_score: 7.11009
hiring_manager: kdavari; similarity_score: 7.00876
hiring_manager: loganfrederick; similarity_score: 7.00757
hiring_manager: emcienjobs; similarity_score: 6.98924
hiring_manager: darrenkopp; similarity_score: 6.96095
hiring_manager: zacharypinter; similarity_score: 6.95652
hiring_manager: FreshPuzzles; similarity_score: 6.94444
hiring_manager: eugeneiiim; similarity_score: 6.94214
hiring_manager: maramaemartin; similarity_score: 6.89655
hiring_manager: squirrel; similarity_score: 6.88976
hiring_manager: myom; similarity_score: 6.81173
hiring_manager: eric_romo; similarity_score: 6.77966
hiring_manager: Theranos; similarity_score: 6.77655
hiring_manager: bowmanb; similarity_score: 6.73684
hiring_manager: alexose; similarity_score: 6.68425
hiring_manager: austinhallock; similarity_score: 6.67461
hiring_manager: escherize; similarity_score: 6.57759
hiring_manager: wiredd; similarity_score: 6.57276
hiring_manager: jjnvdm; similarity_score: 6.50994
hiring_manager: ashleyjohn; similarity_score: 6.48148
hiring_manager: chrisdl; similarity_score: 6.47773
hiring_manager: espinchi; similarity_score: 6.43623
hiring_manager: florianf; similarity_score: 6.40569
hiring_manager: kscottz; similarity_score: 6.37381
hiring_manager: klochner; similarity_score: 6.34920
hiring_manager: astralship; similarity_score: 6.34462
hiring_manager: jpwagner; similarity_score: 6.23174
hiring_manager: knes; similarity_score: 6.19136
hiring_manager: meaydinli; similarity_score: 6.18025
hiring_manager: omarish; similarity_score: 6.12440
hiring_manager: Andrew_Metail; similarity_score: 6.08365
hiring_manager: mpdaugherty; similarity_score: 6.05577
hiring_manager: FUSAR_rs; similarity_score: 6.01503
hiring_manager: olivercameron; similarity_score: 6.00315
hiring_manager: nkoren; similarity_score: 5.99250
hiring_manager: sam; similarity_score: 5.95446
hiring_manager: d0m; similarity_score: 5.92718
hiring_manager: sidjoshi; similarity_score: 5.90809
hiring_manager: DLarsen; similarity_score: 5.90339
hiring_manager: BGCivis; similarity_score: 5.85585
hiring_manager: breckognize; similarity_score: 5.85284
hiring_manager: davidshariff; similarity_score: 5.83717
hiring_manager: mandoescamilla; similarity_score: 5.80736
hiring_manager: grydstedt; similarity_score: 5.77819
hiring_manager: doxcf434; similarity_score: 5.71428
hiring_manager: mateodelnorte; similarity_score: 5.70884
hiring_manager: stockninja; similarity_score: 5.69568
hiring_manager: gsiener; similarity_score: 5.68643
hiring_manager: cjbarber; similarity_score: 5.67901
hiring_manager: dannysu; similarity_score: 5.64971
hiring_manager: sciurus; similarity_score: 5.57491
hiring_manager: jlees; similarity_score: 5.55972
hiring_manager: jhmaddox; similarity_score: 5.47945
hiring_manager: soundandfeury; similarity_score: 5.47717
hiring_manager: jasoncrawford; similarity_score: 5.43900
hiring_manager: biggitybones; similarity_score: 5.43717
hiring_manager: YelpEngineering; similarity_score: 5.42215
hiring_manager: zeiler; similarity_score: 5.42005
hiring_manager: jonbischke; similarity_score: 5.38411
hiring_manager: salar; similarity_score: 5.36246
hiring_manager: antoviaque; similarity_score: 5.35818
hiring_manager: brendan_gill; similarity_score: 5.34011
hiring_manager: retrodict; similarity_score: 5.28455
hiring_manager: yesimahuman; similarity_score: 5.21998
hiring_manager: pwman; similarity_score: 5.18358
hiring_manager: propellerhat; similarity_score: 5.17241
hiring_manager: noobuser123; similarity_score: 5.12820
hiring_manager: asolove; similarity_score: 5.12382
hiring_manager: conversica; similarity_score: 5.10385
hiring_manager: dh0913; similarity_score: 5.07246
hiring_manager: axiom; similarity_score: 5.03144
hiring_manager: cwc22; similarity_score: 5.00863
hiring_manager: twymer; similarity_score: 5.00390
hiring_manager: PhantomPhreak; similarity_score: 4.96150
hiring_manager: blo; similarity_score: 4.86158
hiring_manager: vonnik; similarity_score: 4.80905
hiring_manager: sethbannon; similarity_score: 4.75899
hiring_manager: scottaj2; similarity_score: 4.75892
hiring_manager: pashabitz; similarity_score: 4.75866
hiring_manager: diego; similarity_score: 4.71420
hiring_manager: sridevizarin; similarity_score: 4.70280
hiring_manager: waseems; similarity_score: 4.69107
hiring_manager: azinman2; similarity_score: 4.67762
hiring_manager: kcrossisec; similarity_score: 4.67185
hiring_manager: freyil; similarity_score: 4.65815
hiring_manager: jarmitage; similarity_score: 4.64876
hiring_manager: jason_allen; similarity_score: 4.62633
hiring_manager: sparkman55; similarity_score: 4.62232
hiring_manager: arobbins; similarity_score: 4.62160
hiring_manager: EmilLondon; similarity_score: 4.61192
hiring_manager: rvivek; similarity_score: 4.57564
hiring_manager: dwiel; similarity_score: 4.56989
hiring_manager: Clairesheng; similarity_score: 4.56182
hiring_manager: clieu1; similarity_score: 4.55788
hiring_manager: fortpoint; similarity_score: 4.55696
hiring_manager: AaronLasseigne; similarity_score: 4.54803
hiring_manager: noahbrier; similarity_score: 4.52830
hiring_manager: djyoo; similarity_score: 4.52127
hiring_manager: bgriggs1; similarity_score: 4.51565
hiring_manager: mikebabineau; similarity_score: 4.47570
hiring_manager: rprovey; similarity_score: 4.43407
hiring_manager: kenrose; similarity_score: 4.38276
hiring_manager: Bahamut; similarity_score: 4.36099
hiring_manager: bostik; similarity_score: 4.34285
hiring_manager: michaelhoffman; similarity_score: 4.31519
hiring_manager: fheisler; similarity_score: 4.26726
hiring_manager: nikhaldi; similarity_score: 4.25230
hiring_manager: jkoc; similarity_score: 4.24948
hiring_manager: thethimble; similarity_score: 4.24657
hiring_manager: pandamcbonesaw; similarity_score: 4.22535
hiring_manager: hafabnew; similarity_score: 4.21686
hiring_manager: shedd; similarity_score: 4.16061
hiring_manager: mapdock; similarity_score: 4.15224
hiring_manager: sinak; similarity_score: 4.14985
hiring_manager: jakestein; similarity_score: 4.11214
hiring_manager: bbeck; similarity_score: 4.04896
hiring_manager: xiongww; similarity_score: 4.03645
hiring_manager: clarkevans; similarity_score: 4.02010
hiring_manager: santiycr; similarity_score: 3.95894
hiring_manager: ben336; similarity_score: 3.95852
hiring_manager: matm; similarity_score: 3.95843
hiring_manager: infer; similarity_score: 3.95201
hiring_manager: ILIKEPONIES; similarity_score: 3.94190
hiring_manager: daveoflynn; similarity_score: 3.91741
hiring_manager: bootstraponline; similarity_score: 3.91717
hiring_manager: JJMalina; similarity_score: 3.90720
hiring_manager: Gyffindor; similarity_score: 3.87596
hiring_manager: andrewforee; similarity_score: 3.85321
hiring_manager: _br; similarity_score: 3.84615
hiring_manager: vaxtrac; similarity_score: 3.83609
hiring_manager: zaidos; similarity_score: 3.79377
hiring_manager: kmano8; similarity_score: 3.76051
hiring_manager: bjelkeman-again; similarity_score: 3.74131
hiring_manager: woodhull; similarity_score: 3.69843
hiring_manager: gsastry; similarity_score: 3.65726
hiring_manager: sb_ba; similarity_score: 3.65560
hiring_manager: arach; similarity_score: 3.64741
hiring_manager: snowmaker; similarity_score: 3.63101
hiring_manager: jasonparekh; similarity_score: 3.59019
hiring_manager: georgespencer; similarity_score: 3.55329
hiring_manager: tharshan09; similarity_score: 3.54563
hiring_manager: azth; similarity_score: 3.53600
hiring_manager: lightningstorm; similarity_score: 3.52213
hiring_manager: iis_zephyr; similarity_score: 3.52112
hiring_manager: sqs; similarity_score: 3.46093
hiring_manager: ndonnellan; similarity_score: 3.41431
hiring_manager: JimboOmega; similarity_score: 3.40017
hiring_manager: the_gigi; similarity_score: 3.39917
hiring_manager: martinshen; similarity_score: 3.39506
hiring_manager: tqn; similarity_score: 3.38809
hiring_manager: blakeweb; similarity_score: 3.32936
hiring_manager: Synergyse; similarity_score: 3.30749
hiring_manager: swampthing; similarity_score: 3.25765
hiring_manager: JangoSteve; similarity_score: 3.25581
hiring_manager: tianyicui; similarity_score: 3.22222
hiring_manager: oms1005; similarity_score: 3.22108
hiring_manager: ncbk12; similarity_score: 3.17965
hiring_manager: courtneypowell; similarity_score: 3.17460
hiring_manager: hseikaly; similarity_score: 3.15126
hiring_manager: minichate; similarity_score: 3.14569
hiring_manager: svec; similarity_score: 3.12304
hiring_manager: bsnyder; similarity_score: 3.08256
hiring_manager: jhdavids8; similarity_score: 3.03756
hiring_manager: jontonsoup; similarity_score: 2.98165
hiring_manager: bambootalent; similarity_score: 2.98013
hiring_manager: rchiba; similarity_score: 2.86532
hiring_manager: brandonthejames; similarity_score: 2.85563
